Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Fertilizer Usage (kg/ha)
28.46,53.05,34.92,Red,Pulses,26,3,27,Gromor(10:26:26),42.48496728813621
23.72,61.19,42.73,Red,Pulses,38,0,4,DAP,65.57806338080651
38.08,63.07,27.4,Black,Cotton,10,0,40,Gromor(20:20:0:13),60.169510384526916
32.68,69.24,30.61,Loamy,Ground Nuts,25,0,23,DAP,58.18366206664941
27.23,45.13,46.5,Red,Millets,9,22,11,Gromor(14:35:14),63.01968788163541
25.56,62.96,24.11,Clayey,Tobacco,41,0,0,N-P-K(17:17:17),65.52823095946385
23.23,56.75,26.54,Clayey,Wheat,14,0,3,DAP,85.41339013117246
32.08,56.04,57.99,Sandy,Sugarcane,4,10,32,Gromor(14:35:14),92.98401184537335
33.03,57.81,20.71,Black,Tobacco,8,5,26,Gromor(10:26:26),66.39756099992222
28.27,61.15,25.82,Sandy,Oil seeds,6,6,34,N-P-K(17:17:17),53.31103037869203
25.2,60.8,40.83,Black,Cotton,17,2,39,Gromor(28:28),71.43668786910818
32.37,57.03,65.34,Loamy,Paddy,34,1,2,Gromor(28:28),112.4499846385554
32.77,65.31,56.5,Loamy,Sugarcane,21,0,23,Gromor(10:26:26),86.91416531130548
27.51,61.14,61.53,Loamy,Pulses,8,0,39,Gromor(10:26:26),72.21453544587978
36.35,64.04,65.28,Black,Barley,5,9,27,Urea,111.68148856672151
20.36,57.7,38.39,Red,Ground Nuts,25,0,18,DAP,63.578544114471306
33.04,52.2,21.85,Clayey,Millets,7,15,18,Gromor(10:26:26),50.480147324554736
35.94,62.93,28.98,Red,Barley,3,6,26,DAP,63.655304958674805
25.69,61.45,23.95,Black,Tobacco,37,0,0,Gromor(28:28),65.51581234784288
27.55,59.01,28.77,Loamy,Ground Nuts,36,2,4,Gromor(20:20:0:13),49.24066108856624
38.84,74.14,70.0,Loamy,Ground Nuts,12,2,38,Gromor(20:20:0:13),79.29509957926285
32.3,62.68,41.53,Clayey,Sugarcane,11,2,10,Gromor(10:26:26),92.42662351661876
34.98,76.76,43.81,Loamy,Barley,35,3,0,DAP,65.90605802167178
25.16,56.14,61.08,Red,Pulses,12,1,35,Gromor(10:26:26),70.51438196254603
38.09,65.45,47.28,Loamy,Barley,7,14,14,N-P-K(17:17:17),76.71095360207772
37.0,70.38,34.26,Loamy,Pulses,18,0,15,Urea,65.86071574083151
32.35,63.44,24.13,Red,Cotton,41,4,0,Gromor(14:35:14),49.823503511721015
32.28,67.55,49.48,Red,Pulses,24,0,22,Gromor(28:28),63.230403689122014
34.57,53.65,30.56,Sandy,Ground Nuts,25,0,24,Gromor(20:20:0:13),52.96369881776911
32.83,60.9,30.93,Loamy,Cotton,8,9,25,Gromor(14:35:14),63.75425546679887
31.17,67.47,56.61,Loamy,Tobacco,12,0,7,DAP,118.71309032658056
35.93,63.52,47.76,Clayey,Wheat,20,0,16,Urea,105.27258266887009
35.88,65.43,51.08,Clayey,Oil seeds,11,15,10,Urea,103.74717709753494
23.9,50.65,40.95,Red,Ground Nuts,40,0,4,N-P-K(17:17:17),57.51801601837219
32.3,58.56,36.13,Sandy,Millets,25,2,20,Gromor(20:20:0:13),42.56295290716388
29.21,68.29,33.86,Black,Pulses,6,16,17,Gromor(14:35:14),58.86501797567118
34.78,74.96,23.1,Black,Oil seeds,8,0,32,Gromor(28:28),61.45696746865141
33.65,59.37,58.73,Sandy,Oil seeds,39,0,0,Urea,84.13082873950327
28.58,62.64,30.24,Sandy,Cotton,13,1,14,Urea,72.26572124363233
30.6,46.79,28.45,Red,Maize,8,0,6,Gromor(14:35:14),76.42026478994005
31.13,61.96,56.93,Clayey,Pulses,12,3,31,N-P-K(17:17:17),69.57691921954743
35.66,64.66,38.16,Loamy,Pulses,12,4,16,Gromor(10:26:26),58.02016294576801
38.02,73.39,34.53,Black,Barley,40,0,0,N-P-K(17:17:17),61.31293416009045
26.7,42.56,25.82,Red,Tobacco,9,11,17,Urea,75.02275629953317
30.06,56.63,49.63,Clayey,Ground Nuts,9,0,12,Gromor(10:26:26),85.28860110550683
32.38,67.07,45.41,Clayey,Cotton,44,0,0,Gromor(14:35:14),79.80622601401609
30.11,55.41,33.96,Loamy,Millets,24,0,19,Gromor(28:28),52.51982401363076
40.0,66.23,24.12,Black,Paddy,8,0,14,Gromor(20:20:0:13),84.46004034079098
28.18,56.88,55.26,Red,Cotton,23,4,18,Gromor(14:35:14),62.874206287634664
28.93,52.02,34.13,Black,Cotton,10,0,32,Urea,78.51604021997134
32.94,60.02,33.0,Black,Ground Nuts,7,10,25,DAP,74.48099207475597
30.05,71.84,55.66,Black,Millets,1,10,28,N-P-K(17:17:17),78.53499079696194
30.5,66.54,39.44,Clayey,Tobacco,10,0,12,DAP,103.7680417491355
36.14,63.53,29.95,Red,Ground Nuts,16,0,37,Gromor(20:20:0:13),46.01293955702072
29.07,58.16,32.93,Clayey,Sugarcane,15,0,42,Urea,89.25509985494361
34.84,63.19,45.19,Red,Sugarcane,38,1,2,Gromor(10:26:26),77.18874797714822
34.61,67.29,36.72,Loamy,Millets,37,4,0,Urea,57.972189852588755
26.2,53.65,56.71,Sandy,Maize,36,3,0,Gromor(14:35:14),71.66297893820179
33.91,63.82,41.45,Black,Wheat,12,0,10,Gromor(14:35:14),83.36923809678318
34.79,61.91,46.9,Clayey,Wheat,38,2,0,Gromor(10:26:26),91.24577239596854
26.74,57.16,20.0,Clayey,Millets,37,0,4,N-P-K(17:17:17),51.232126015259276
32.91,56.48,45.87,Black,Millets,4,0,18,Urea,83.76123706830667
24.06,65.78,58.11,Red,Cotton,14,3,6,Gromor(28:28),78.71188431202583
33.94,69.64,41.55,Loamy,Paddy,10,3,29,N-P-K(17:17:17),86.08195015404435
27.16,54.78,41.9,Black,Pulses,17,2,32,Urea,69.16225697844493
35.04,69.13,59.45,Black,Sugarcane,14,14,13,Gromor(10:26:26),103.49475835804772
26.78,53.14,37.57,Black,Pulses,24,0,21,Urea,64.99224565557805
26.4,65.11,55.15,Black,Pulses,3,9,37,Urea,90.22215517130283
30.74,54.35,61.21,Sandy,Cotton,16,0,8,Gromor(20:20:0:13),77.75252429880564
36.75,59.8,37.97,Black,Sugarcane,21,0,23,N-P-K(17:17:17),84.29078474820054
25.11,48.12,62.98,Loamy,Pulses,15,4,30,Gromor(10:26:26),68.22927847714848
38.91,64.93,39.42,Sandy,Pulses,38,2,1,DAP,66.44882181844011
26.05,58.12,35.26,Black,Pulses,28,4,20,Gromor(20:20:0:13),46.90175410173268
34.2,64.85,39.67,Clayey,Maize,13,0,36,Gromor(10:26:26),68.60691199385656
28.76,50.58,38.28,Loamy,Oil seeds,35,3,1,N-P-K(17:17:17),61.443725135594896
34.06,71.7,43.15,Red,Barley,12,12,28,Gromor(28:28),50.6264624438022
26.51,56.57,20.0,Sandy,Ground Nuts,11,13,27,DAP,39.60394608451422
21.36,56.53,34.78,Black,Maize,3,15,24,Gromor(28:28),58.66314538622719
28.11,45.27,48.25,Sandy,Paddy,7,8,24,Urea,93.5069348769961
22.72,44.19,24.65,Black,Pulses,38,0,3,Gromor(14:35:14),46.815178624231834
22.54,52.75,31.79,Red,Millets,21,3,18,DAP,60.58906679574266
24.5,42.83,57.23,Loamy,Cotton,24,0,22,Urea,84.6567185506961
34.26,72.48,43.81,Clayey,Ground Nuts,14,19,23,N-P-K(17:17:17),62.33039330104374
36.19,77.04,57.3,Black,Ground Nuts,13,1,39,DAP,84.13798497332687
21.14,58.75,31.2,Loamy,Maize,14,0,13,DAP,68.11069428392146
24.28,50.9,34.64,Loamy,Millets,14,0,36,N-P-K(17:17:17),47.37434668322237
25.06,56.22,22.4,Sandy,Millets,18,0,43,N-P-K(17:17:17),33.08934135015089
30.21,50.79,37.79,Clayey,Barley,5,1,16,Urea,84.81076447426757
30.32,58.2,37.68,Loamy,Tobacco,37,0,1,Gromor(20:20:0:13),79.1654673008241
35.17,60.97,34.42,Black,Ground Nuts,8,0,33,N-P-K(17:17:17),62.808911166788484
29.63,58.39,64.42,Sandy,Barley,8,1,11,Gromor(28:28),95.00833764900354
31.41,50.97,45.98,Sandy,Millets,38,0,0,Gromor(14:35:14),53.50352393356428
34.17,71.47,70.0,Loamy,Tobacco,15,0,37,Gromor(10:26:26),93.65124527255436
38.62,65.2,36.37,Sandy,Tobacco,37,1,3,Gromor(10:26:26),59.60260927760547
32.84,66.47,69.01,Red,Sugarcane,12,5,35,Urea,131.36262924890585
30.87,74.24,62.38,Clayey,Maize,7,16,9,Gromor(14:35:14),94.97282526402712
26.02,52.58,39.77,Red,Sugarcane,41,0,3,Gromor(14:35:14),70.31305315655443
31.0,64.07,51.2,Black,Wheat,13,3,11,Gromor(28:28),104.22921396137264
30.47,58.88,38.22,Red,Pulses,20,2,18,N-P-K(17:17:17),47.49251463004886
30.33,54.91,37.16,Black,Millets,36,0,0,Urea,66.36746782808366
24.62,63.54,33.9,Loamy,Wheat,43,0,0,Urea,76.65305212993992
34.5,61.62,61.48,Red,Cotton,6,11,29,Gromor(28:28),91.688127279148
34.45,61.44,70.0,Red,Sugarcane,13,12,24,DAP,116.05333061422193
28.91,60.07,39.93,Black,Barley,34,0,3,Gromor(20:20:0:13),53.21410767450882
31.57,53.14,20.33,Sandy,Oil seeds,41,4,2,Gromor(10:26:26),48.23889155643749
26.19,63.76,35.68,Red,Millets,32,0,0,Gromor(28:28),64.65398661492557
25.14,48.37,28.64,Black,Millets,8,6,14,Gromor(14:35:14),57.73707669642255
38.41,74.99,25.39,Black,Maize,9,0,36,Urea,63.87600735739319
29.57,70.26,37.15,Red,Millets,12,0,37,Gromor(14:35:14),56.585225609670324
33.72,54.21,47.29,Red,Oil seeds,24,0,18,DAP,69.44395897735443
33.3,57.9,57.26,Black,Pulses,13,1,39,N-P-K(17:17:17),69.2382446050452
29.6,58.3,44.4,Clayey,Wheat,36,3,0,Gromor(20:20:0:13),76.31033629493847
27.83,60.88,29.59,Red,Sugarcane,40,2,3,Gromor(14:35:14),64.84524017945708
24.31,49.48,27.55,Red,Millets,17,0,39,N-P-K(17:17:17),44.579373103240044
31.77,46.28,45.72,Red,Cotton,35,1,0,N-P-K(17:17:17),72.58546403545319
28.65,59.24,40.45,Clayey,Barley,10,13,22,Gromor(28:28),61.0060126056875
30.23,72.24,57.55,Red,Cotton,9,13,29,N-P-K(17:17:17),72.22122892512662
23.86,56.94,45.96,Black,Paddy,17,4,10,Gromor(14:35:14),95.36214711677225
24.03,59.41,55.3,Sandy,Cotton,0,15,10,Gromor(14:35:14),79.31864371852087
32.86,54.42,41.19,Red,Ground Nuts,22,4,22,DAP,56.54793919157401
31.58,60.79,41.51,Sandy,Barley,1,13,13,Gromor(14:35:14),72.87729025362007
29.38,67.36,40.79,Black,Tobacco,5,11,17,Gromor(14:35:14),83.51476821194916
34.45,66.86,35.97,Black,Maize,45,0,0,Urea,86.08941389677132
29.34,42.41,44.03,Clayey,Tobacco,22,0,18,Urea,93.11266516582319
40.0,62.24,42.28,Loamy,Pulses,14,1,18,Gromor(14:35:14),69.48343386777202
31.51,63.07,38.77,Loamy,Ground Nuts,23,1,13,Urea,72.73751379480038
27.67,45.92,36.55,Loamy,Sugarcane,32,1,0,Gromor(20:20:0:13),75.1478301064104
28.12,45.77,43.16,Sandy,Ground Nuts,44,1,0,N-P-K(17:17:17),52.50642325882672
30.04,45.43,37.77,Black,Maize,19,4,21,Gromor(10:26:26),57.19209578697151
28.79,73.96,35.13,Clayey,Wheat,16,3,42,DAP,78.7845946808281
31.74,63.18,24.75,Loamy,Maize,11,13,16,Gromor(10:26:26),55.375405824679845
36.76,59.74,39.36,Black,Wheat,22,1,20,N-P-K(17:17:17),68.99830133932471
26.29,47.4,68.32,Black,Pulses,6,0,7,Gromor(14:35:14),88.84728032035866
25.37,50.94,25.52,Black,Sugarcane,3,14,20,Gromor(14:35:14),71.38250175828072
25.49,59.63,68.9,Red,Barley,8,0,42,Gromor(28:28),81.24736268609914
28.88,55.01,36.26,Red,Pulses,39,0,0,Gromor(10:26:26),51.82567258125446
34.53,58.86,52.25,Black,Oil seeds,18,3,41,N-P-K(17:17:17),67.55971745225612
29.73,44.95,36.64,Clayey,Sugarcane,10,0,38,Urea,103.4082609035725
30.05,59.14,39.13,Red,Ground Nuts,17,0,43,Gromor(20:20:0:13),59.64321886937103
30.67,61.01,35.65,Clayey,Oil seeds,41,2,0,N-P-K(17:17:17),72.87540378214038
24.3,53.62,60.71,Clayey,Sugarcane,9,2,35,Gromor(10:26:26),98.3622299919422
37.7,56.61,57.93,Loamy,Wheat,27,0,15,Gromor(10:26:26),80.04187999936316
27.09,48.1,39.39,Clayey,Ground Nuts,9,11,21,Urea,73.73975183952814
28.02,43.47,37.43,Black,Sugarcane,33,0,2,Gromor(28:28),85.51292169255913
34.62,64.2,39.87,Sandy,Millets,21,1,19,Gromor(28:28),56.24445938604722
33.0,72.49,26.85,Loamy,Millets,11,3,36,Gromor(20:20:0:13),49.42419132379864
37.48,74.71,50.16,Sandy,Wheat,33,0,2,Gromor(10:26:26),78.07072580681564
40.0,80.0,55.43,Clayey,Paddy,42,4,0,DAP,135.33808626159222
33.47,62.71,36.43,Loamy,Sugarcane,17,0,39,Urea,80.75302435764381
24.91,47.48,32.77,Black,Pulses,17,0,21,N-P-K(17:17:17),60.84844945615456
30.89,57.6,53.41,Sandy,Maize,41,1,0,Gromor(28:28),69.31878500668779
25.22,53.11,39.07,Red,Tobacco,24,0,14,Gromor(20:20:0:13),71.38255513166943
30.68,66.46,37.19,Red,Sugarcane,17,0,38,N-P-K(17:17:17),71.17441120805194
27.33,64.51,61.53,Sandy,Millets,12,11,32,Gromor(20:20:0:13),55.934945992531226
29.96,54.53,67.99,Black,Ground Nuts,13,4,6,Gromor(20:20:0:13),86.16829398573275
32.99,50.56,44.4,Clayey,Sugarcane,4,15,14,Gromor(14:35:14),90.33573164065746
36.5,76.58,69.11,Sandy,Oil seeds,15,0,41,Gromor(14:35:14),76.48841957624415
24.59,51.79,70.0,Black,Paddy,9,3,8,Gromor(28:28),140.05443319291643
28.14,64.83,42.85,Loamy,Wheat,14,0,7,N-P-K(17:17:17),78.14870954752728
31.92,57.22,51.32,Black,Millets,18,4,17,Urea,77.05602165064367
36.21,57.4,64.18,Black,Oil seeds,34,0,1,Gromor(28:28),89.88809473957092
29.54,58.68,37.33,Black,Paddy,27,0,20,Gromor(28:28),83.90014095848416
37.62,54.26,47.98,Red,Sugarcane,8,0,8,N-P-K(17:17:17),95.62775485561156
23.0,53.85,26.32,Clayey,Cotton,11,1,12,Urea,79.76056586770044
33.55,58.99,28.88,Loamy,Paddy,33,3,0,Gromor(20:20:0:13),78.68635129440322
25.2,54.36,56.57,Black,Barley,5,16,13,Gromor(14:35:14),87.8550430296038
28.1,57.31,69.25,Sandy,Millets,40,0,0,Gromor(10:26:26),57.422290398692255
26.32,61.03,28.0,Black,Oil seeds,7,9,32,Gromor(20:20:0:13),48.1559893982274
36.26,72.92,70.0,Red,Barley,11,4,28,N-P-K(17:17:17),79.37688958897388
36.08,67.07,39.77,Loamy,Cotton,4,7,26,Gromor(28:28),75.18667423892768
26.61,51.72,36.01,Red,Ground Nuts,45,0,0,Gromor(28:28),52.184833138625024
22.55,57.45,46.58,Red,Paddy,24,1,24,DAP,88.76632665541884
35.44,68.66,47.39,Loamy,Wheat,13,20,20,Gromor(20:20:0:13),66.13339819640575
31.47,64.11,65.21,Black,Sugarcane,13,3,28,Gromor(20:20:0:13),107.88007516519531
23.45,48.04,34.71,Loamy,Sugarcane,33,4,1,Gromor(14:35:14),74.24777157810053
32.95,47.81,36.46,Sandy,Cotton,11,5,26,Gromor(14:35:14),61.04698827637793
35.89,69.26,56.39,Sandy,Tobacco,19,0,23,Gromor(28:28),84.43768589584676
32.33,75.18,40.55,Black,Sugarcane,14,19,23,Gromor(10:26:26),77.6733182578859
38.98,58.36,50.55,Red,Tobacco,16,0,42,Urea,112.23569330544433
33.44,62.95,26.99,Clayey,Pulses,27,0,19,Gromor(28:28),71.99784851937898
25.0,43.01,70.0,Sandy,Maize,38,0,3,Gromor(10:26:26),64.00884252879807
29.95,70.97,49.89,Loamy,Tobacco,24,0,27,Gromor(10:26:26),66.88123355457824
28.47,63.69,51.32,Black,Cotton,8,0,8,Gromor(10:26:26),89.04197701597798
37.78,67.61,42.9,Loamy,Tobacco,37,0,0,Gromor(28:28),89.15775801227058
20.85,59.67,27.39,Black,Ground Nuts,15,9,6,DAP,68.61960033925557
34.47,55.91,64.25,Loamy,Paddy,9,8,25,N-P-K(17:17:17),111.9854416812898
22.37,49.0,70.0,Red,Paddy,40,1,0,Gromor(28:28),92.48764854491375
22.29,47.57,66.46,Sandy,Oil seeds,11,0,12,Gromor(28:28),83.74936326540909
25.06,59.78,44.6,Clayey,Millets,36,0,0,Gromor(28:28),65.80339584546456
30.44,62.39,67.03,Black,Pulses,22,2,19,N-P-K(17:17:17),73.71559180181796
24.39,43.91,36.11,Red,Cotton,18,0,21,DAP,71.38845940320815
36.89,69.58,42.28,Sandy,Cotton,37,0,0,Gromor(28:28),63.74005339471932
30.22,50.85,59.57,Clayey,Wheat,5,5,34,Gromor(10:26:26),97.02741381272125
36.69,78.73,43.49,Red,Oil seeds,35,0,3,Gromor(20:20:0:13),63.441140647538546
29.5,42.7,52.43,Loamy,Tobacco,21,0,21,Urea,107.26668398422373
36.74,61.86,29.3,Clayey,Wheat,38,2,0,Gromor(14:35:14),74.68912245647604
29.86,61.53,51.88,Loamy,Millets,33,2,0,Gromor(20:20:0:13),61.61308866482579
26.18,44.54,66.14,Loamy,Wheat,8,0,17,Gromor(20:20:0:13),98.22078941421988
24.23,54.33,34.93,Sandy,Tobacco,5,10,28,Gromor(14:35:14),65.42557551107058
25.05,64.63,47.88,Loamy,Pulses,10,3,6,DAP,75.80195457228646
29.0,57.95,20.71,Red,Oil seeds,12,16,11,Gromor(10:26:26),51.43343462488514
39.5,59.87,52.35,Black,Oil seeds,11,1,36,Gromor(20:20:0:13),85.40916503322468
27.46,66.87,26.04,Loamy,Maize,6,11,34,Gromor(14:35:14),54.42659324831168
31.41,56.68,46.38,Loamy,Paddy,10,15,17,Gromor(28:28),102.83176990137706
26.18,54.54,46.83,Sandy,Tobacco,37,1,0,N-P-K(17:17:17),66.0998795052999
31.52,51.09,41.27,Loamy,Oil seeds,38,0,4,DAP,64.34952217871616
35.22,76.59,24.21,Loamy,Oil seeds,10,1,39,Gromor(14:35:14),57.661418477573335
37.69,54.05,40.24,Loamy,Pulses,19,0,45,N-P-K(17:17:17),54.09894365923534
27.77,54.61,46.77,Loamy,Wheat,12,3,32,Gromor(10:26:26),69.42757995846283
32.86,65.21,45.16,Sandy,Sugarcane,26,0,21,DAP,84.20000822580064
28.3,60.42,55.44,Sandy,Paddy,11,13,17,Urea,120.83316917465932
34.98,64.48,51.57,Clayey,Tobacco,12,0,37,Gromor(14:35:14),100.96635765610432
39.31,59.72,40.8,Red,Cotton,42,3,0,DAP,70.43832559474342
27.41,48.69,52.62,Black,Wheat,11,3,33,DAP,96.48999934350499
29.89,59.26,51.55,Sandy,Cotton,15,0,12,Gromor(28:28),89.05603489514662
34.05,71.7,24.22,Clayey,Pulses,26,0,18,Gromor(20:20:0:13),59.22147411047728
23.91,43.52,39.54,Black,Sugarcane,34,2,0,N-P-K(17:17:17),72.6583539361107
32.24,49.43,40.27,Black,Cotton,36,0,0,Gromor(14:35:14),77.16191420314587
36.98,53.44,24.52,Clayey,Pulses,13,2,37,Gromor(14:35:14),39.74066569677646
30.83,50.49,61.71,Black,Oil seeds,18,4,36,DAP,84.40527306181241
27.06,51.39,53.38,Clayey,Cotton,9,0,37,Gromor(28:28),92.18698125172952
38.7,65.81,23.13,Loamy,Wheat,6,0,34,Gromor(20:20:0:13),58.66249621934756
30.9,55.65,30.7,Loamy,Ground Nuts,11,6,11,Gromor(20:20:0:13),66.89457731350281
27.98,46.24,47.68,Loamy,Maize,21,0,24,Urea,69.7122068218135
38.27,60.33,37.69,Sandy,Cotton,9,4,16,Gromor(14:35:14),72.53716465130175
28.07,52.91,43.54,Red,Tobacco,8,13,16,Gromor(20:20:0:13),64.66794138048824
38.99,59.31,46.91,Clayey,Ground Nuts,2,15,20,Gromor(10:26:26),76.0679441413243
35.18,73.86,61.58,Black,Cotton,12,0,14,N-P-K(17:17:17),100.58258690524995
29.63,51.13,59.87,Sandy,Tobacco,4,12,36,Urea,108.13496635247587
26.44,66.93,58.88,Clayey,Barley,17,0,38,Gromor(10:26:26),77.72156457602325
32.97,76.36,35.98,Red,Pulses,10,0,18,Gromor(14:35:14),65.1719051655429
32.59,52.77,67.32,Sandy,Wheat,14,0,38,Urea,102.09614369263653
40.0,61.28,57.03,Clayey,Paddy,9,8,24,Gromor(10:26:26),129.09506078879633
35.08,60.37,45.69,Loamy,Barley,22,1,26,N-P-K(17:17:17),58.38714856628976
33.46,60.65,34.68,Red,Cotton,17,0,7,Gromor(20:20:0:13),64.60117303697325
32.95,66.06,24.22,Red,Millets,19,0,21,Gromor(28:28),57.87657258615249
27.46,63.08,52.97,Black,Cotton,11,0,12,Gromor(10:26:26),91.21557198300368
40.0,56.21,37.48,Sandy,Ground Nuts,10,1,37,Gromor(20:20:0:13),59.16415768223212
30.85,53.02,26.39,Sandy,Wheat,12,2,27,Gromor(10:26:26),66.21639948245607
24.58,43.05,67.17,Clayey,Millets,40,3,2,Gromor(14:35:14),62.45281946306741
32.99,64.5,30.16,Red,Paddy,10,0,32,Gromor(14:35:14),88.91338486176292
24.83,48.37,49.51,Sandy,Pulses,9,3,39,Gromor(10:26:26),46.22678544131813
30.82,56.4,56.14,Red,Paddy,5,13,15,Urea,139.48312996575675
33.65,64.1,41.88,Loamy,Maize,12,2,34,Gromor(14:35:14),63.8502888093204
27.99,52.83,35.74,Loamy,Ground Nuts,11,12,21,Urea,62.112929578793455
22.87,44.91,24.78,Loamy,Barley,19,14,13,Gromor(28:28),55.18529322769934
29.95,68.13,38.6,Red,Sugarcane,21,0,15,DAP,88.99113315476134
39.25,76.98,28.94,Clayey,Ground Nuts,12,0,37,Urea,74.82483154333687
29.82,66.85,23.96,Loamy,Tobacco,9,20,12,N-P-K(17:17:17),63.44900121037236
26.66,63.18,32.47,Sandy,Tobacco,42,4,0,Gromor(20:20:0:13),52.09842062489757
30.12,47.45,64.3,Loamy,Tobacco,36,4,0,Gromor(14:35:14),91.96351807890086
28.82,53.22,38.74,Clayey,Ground Nuts,26,1,17,DAP,72.80246520628339
23.42,54.77,33.63,Black,Paddy,39,0,4,DAP,83.63045270562544
28.45,62.42,52.98,Black,Ground Nuts,17,0,37,N-P-K(17:17:17),73.23285518274128
24.76,58.45,38.36,Sandy,Wheat,11,0,15,DAP,72.11476481942047
31.65,56.41,30.22,Red,Paddy,19,3,27,Gromor(28:28),78.77042423267076
23.2,46.23,65.9,Red,Wheat,39,4,4,Urea,86.15954569025443
33.52,60.5,52.77,Red,Oil seeds,13,13,11,N-P-K(17:17:17),62.147659054986526
31.19,51.5,20.0,Loamy,Cotton,13,8,28,Gromor(14:35:14),55.667452195594834
27.52,51.39,46.96,Black,Wheat,40,2,4,Gromor(28:28),67.35624882023357
30.46,57.09,32.66,Sandy,Tobacco,6,17,21,Urea,76.50569105894218
34.36,64.55,38.08,Sandy,Pulses,25,1,19,Gromor(10:26:26),55.88841161713265
32.14,57.35,49.7,Loamy,Tobacco,19,1,36,DAP,88.64751964507246
36.81,60.97,46.15,Black,Pulses,10,21,23,Urea,56.96986402721694
30.15,59.21,25.04,Loamy,Pulses,20,3,16,Gromor(14:35:14),52.78816708505811
29.77,63.09,47.01,Red,Sugarcane,21,1,17,N-P-K(17:17:17),72.13678830900838
30.24,51.96,38.03,Black,Pulses,36,0,3,Urea,63.33823601585662
24.97,47.28,41.8,Black,Pulses,3,17,19,Gromor(10:26:26),64.72333187385392
26.34,61.87,22.93,Red,Maize,15,0,16,Gromor(20:20:0:13),53.35764135358642
37.17,73.45,62.33,Black,Millets,9,1,41,Gromor(28:28),85.65906165544483
29.78,65.45,39.96,Loamy,Paddy,9,3,39,Gromor(14:35:14),90.97553294085762
30.05,61.94,57.63,Red,Tobacco,5,9,33,DAP,111.62619289837004
23.59,54.55,43.39,Sandy,Ground Nuts,40,1,4,DAP,57.99228368103893
22.2,55.19,60.43,Black,Wheat,8,0,5,Gromor(10:26:26),107.14844518568927
29.33,58.97,42.02,Loamy,Cotton,11,4,46,N-P-K(17:17:17),56.9879001067204
28.33,61.2,58.57,Red,Wheat,11,4,18,Gromor(20:20:0:13),86.3039218487152
34.24,61.19,31.95,Sandy,Maize,20,3,16,DAP,72.18842609216914
29.04,73.52,60.4,Clayey,Oil seeds,4,3,15,Gromor(28:28),101.70006083556275
32.64,52.05,29.73,Sandy,Pulses,15,3,38,N-P-K(17:17:17),46.101297778980864
38.51,72.73,54.65,Sandy,Paddy,39,0,3,Gromor(14:35:14),93.00630036546319
26.36,58.22,35.11,Loamy,Tobacco,37,2,3,Urea,88.41481610510783
26.86,60.39,30.72,Clayey,Maize,34,0,0,Urea,67.61419314385115
28.96,54.55,40.7,Black,Tobacco,12,0,18,DAP,91.81554466151024
31.35,64.03,52.01,Black,Cotton,17,0,39,N-P-K(17:17:17),74.80531153774326
20.03,52.64,70.0,Sandy,Sugarcane,13,0,13,Gromor(20:20:0:13),98.96172481823616
37.86,61.26,47.91,Loamy,Barley,15,14,14,Urea,78.99284031850465
34.3,73.98,23.5,Sandy,Pulses,8,0,34,Gromor(14:35:14),50.050632075283055
28.75,65.85,40.56,Sandy,Ground Nuts,20,0,13,Gromor(10:26:26),58.36613036732608
34.35,68.28,37.3,Loamy,Wheat,45,0,2,Gromor(20:20:0:13),57.17109978084364
29.5,58.68,59.82,Sandy,Oil seeds,3,10,37,Urea,96.01133740808852
23.09,47.76,36.04,Red,Barley,37,2,0,Gromor(20:20:0:13),53.97284021063745
31.45,59.17,41.86,Sandy,Maize,9,8,31,DAP,66.311121492785
29.76,68.21,44.33,Sandy,Wheat,8,12,10,DAP,85.99180283172365
23.9,52.22,35.06,Black,Cotton,13,0,4,DAP,82.77224468364103
31.65,58.98,60.38,Loamy,Wheat,19,0,23,Gromor(28:28),97.33660335144049
32.72,68.34,67.2,Red,Barley,14,0,37,DAP,96.09700584801759
39.16,69.41,37.45,Red,Tobacco,17,0,40,N-P-K(17:17:17),67.81560324566901
30.58,57.79,62.55,Loamy,Sugarcane,12,4,38,Gromor(20:20:0:13),100.44805623305574
24.24,61.14,60.21,Red,Wheat,10,0,10,Gromor(14:35:14),102.54115267384496
36.13,58.84,40.14,Clayey,Paddy,19,0,20,Gromor(28:28),91.51225726380548
33.8,67.31,32.57,Clayey,Paddy,9,19,18,N-P-K(17:17:17),87.05384895824342
22.83,48.52,61.42,Black,Tobacco,13,0,12,Urea,115.46448870958686
27.46,63.46,32.44,Sandy,Oil seeds,2,14,20,DAP,63.951071478492686
23.99,49.61,27.08,Red,Millets,11,2,8,N-P-K(17:17:17),62.88047175771521
32.35,69.35,54.59,Red,Oil seeds,13,8,35,Gromor(10:26:26),69.05289992625126
32.05,53.97,35.02,Loamy,Millets,41,0,0,Urea,65.10790620713212
23.89,51.43,32.44,Clayey,Ground Nuts,38,2,0,Gromor(20:20:0:13),51.18869921726818
25.23,47.76,41.74,Black,Pulses,23,1,23,Gromor(28:28),59.69131457355501
25.04,45.85,51.39,Loamy,Tobacco,27,0,17,N-P-K(17:17:17),82.37242523853189
22.58,47.54,39.32,Red,Ground Nuts,34,0,3,Urea,57.385378528551755
30.78,72.03,70.0,Sandy,Maize,26,2,24,Urea,81.3636408809305
